Name;OLED1_Kontakt2U_K12_U0.00e+000V 1;OLED1_Kontakt2U_K12_U5.00e-001V 1;OLED1_Kontakt2U_K12_U1.00e+000V 1;OLED1_Kontakt2U_K12_U1.50e+000V 1;OLED1_Kontakt2U_K12_U2.00e+000V 1;OLED1_Kontakt2U_K12_U2.50e+000V 1;OLED1_Kontakt2U_K12_U3.00e+000V 1;OLED1_Kontakt2U_K12_U3.50e+000V 1;OLED1_Kontakt2U_K12_U4.00e+000V 1;OLED1_Kontakt2U_K12_U4.50e+000V 1;OLED1_Kontakt2U_K12_U5.00e+000V 1;OLED1_Kontakt2U_K12_U5.50e+000V 1;OLED1_Kontakt2U_K12_U6.00e+000V 1;OLED1_Kontakt2U_K12_U6.50e+000V 1;OLED1_Kontakt2U_K12_U7.00e+000V 1;OLED1_Kontakt2U_K12_U7.50e+000V 1;OLED1_Kontakt2U_K12_U8.00e+000V 1;OLED1_Kontakt2U_K12_U8.50e+000V 1;OLED1_Kontakt2U_K12_U9.00e+000V 1;OLED1_Kontakt2U_K12_U9.50e+000V 1;OLED1_Kontakt2U_K12_U1.00e+001V 1;Name;OLED1_Kontakt2U_K12 1;OLED1_Kontakt2U_K12_U0.00e+000V_Leuchtdichte 1;OLED1_Kontakt2U_K12_U0.00e+000V_Lichtstrom 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEx 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEy 1;OLED1_Kontakt2U_K12_U0.00e+000V_CIEz 1;OLED1_Kontakt2U_K12_U0.00e+000V_Beleuchtungsstärke 1;OLED1_Kontakt2U_K12_U0.00e+000V_BeleuchtungsstärkeVIS 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakX 1;OLED1_Kontakt2U_K12_U0.00e+000V_PeakY 1;
Wellenlänge (m);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Energiedichte (W/m^3);Spannung (V);Stromdichte (mA/cm^2);Leuchtdichte (cd/m^2);Lichtstrom (lm);CIEx (1);CIEy (1);CIEz (1);Beleuchtungsstärke (W/m^2);Beleuchtungsstärke VIS (W/m^2);Peak X (m);Peak Y (W/m^2);
3.19000e-007;1.77839e+006;1.14845e+007;8.24915e+006;3.23538e+006;1.07560e+007;2.50688e+006;8.97765e+006;8.97765e+006;7.19926e+006;8.97765e+006;1.47199e+007;1.36700e+007;1.64983e+007;3.23538e+006;8.24915e+006;1.29415e+007;4.78022e+007;2.69329e+007;1.63200e+009;7.92776e+006;1.97337e+007;9.50000e+000;6.14636e+002;5.35562e+004;5.55231e+000;4.02142e-001;5.72657e-001;2.52011e-002;3.42881e+002;3.42549e+002;5.41000e-007;3.61047e+009;
3.20000e-007;-4.43964e+006;1.00989e+007;-3.82983e+006;-6.09813e+005;3.22001e+006;0.00000e+000;3.36877e+007;1.97589e+007;1.27091e+007;1.39287e+007;3.22001e+006;9.48909e+006;7.65965e+006;1.77586e+007;1.53193e+007;1.00989e+007;5.32757e+007;2.15884e+007;2.16715e+009;2.15884e+007;1.14895e+007;1.00000e+001;6.72212e+002;3.86191e+004;4.00374e+000;3.90663e-001;5.78994e-001;3.03424e-002;2.45873e+002;2.45679e+002;5.40000e-007;2.63086e+009;
3.21000e-007;-6.64414e+006;-1.10549e+007;-6.64414e+006;1.10409e+007;0.00000e+000;1.54797e+007;-2.20538e+006;-1.55077e+007;4.39676e+006;0.00000e+000;-4.42476e+006;-1.32743e+007;-6.63014e+006;-1.32883e+007;-1.32743e+007;-1.10549e+007;3.09733e+007;2.43432e+007;2.07958e+009;6.63014e+006;-6.65814e+006;;;;;;;;;;;;
3.22000e-007;1.32297e+007;9.44569e+006;9.44569e+006;1.32297e+007;1.57618e+007;2.58334e+007;9.44569e+006;4.40988e+006;2.58334e+007;9.44569e+006;1.63877e+007;0.00000e+000;1.70136e+007;9.44569e+006;1.76395e+007;2.26753e+007;5.79544e+007;1.32297e+007;2.04809e+009;9.44569e+006;5.03581e+006;Datum; 11/24/10 15:41:30; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58; 11/24/10 15:41:58;
3.23000e-007;1.12842e+007;1.66296e+007;1.90078e+006;1.31850e+007;4.98846e+006;1.75800e+007;2.44693e+007;1.22346e+007;1.56792e+007;6.88923e+006;7.83962e+006;4.03807e+006;2.00743e+007;2.35189e+007;2.00743e+007;1.41354e+007;5.71351e+007;2.10246e+007;2.01826e+009;1.41354e+007;5.93885e+006;;;;;;;;;;;;
3.24000e-007;-2.19006e+007;-2.50969e+006;-1.37796e+007;-7.52906e+006;-6.88982e+006;0.00000e+000;-8.76025e+006;-2.00302e+007;-1.31404e+007;-1.19092e+007;-2.50969e+006;-2.00302e+007;3.10163e+006;-6.88982e+006;-1.37796e+007;-6.88982e+006;3.18921e+007;1.23119e+006;1.93853e+009;-6.39249e+005;3.74088e+006;Benutzer; tb; tb; tb; tb; tb; tb; tb; tb; tb; tb;
3.25000e-007;8.73050e+006;-4.36525e+006;-4.36525e+006;-8.41740e+006;-1.30957e+007;3.13094e+005;4.67834e+006;-3.11287e+006;-1.74610e+007;-8.73050e+006;-4.36525e+006;8.73050e+006;9.04359e+006;9.04359e+006;9.39283e+005;9.04359e+006;2.61915e+007;8.73050e+006;1.88859e+009;5.30453e+006;-8.10431e+006;Kommentar; --; --; --; --; --; --; --; --; --; --;
3.26000e-007;-1.89594e+006;-6.24631e+006;-8.70074e+006;1.18239e+007;2.45443e+006;3.68164e+006;-9.36947e+006;8.03201e+006;-6.80480e+006;-8.70074e+006;0.00000e+000;5.57758e+006;2.45443e+006;6.13607e+006;-8.14226e+006;1.49471e+007;2.92254e+007;-1.22721e+006;1.84389e+009;8.70074e+006;-3.12316e+006;;;;;;;;;;;;
3.27000e-007;3.16953e+006;2.75073e+006;1.16597e+006;-1.10029e+007;1.06745e+007;1.14217e+007;7.50502e+006;-4.33549e+006;2.75073e+006;1.30065e+007;-8.25219e+006;8.67098e+006;5.92026e+006;9.08978e+006;1.61760e+007;7.08622e+006;5.51954e+007;0.00000e+000;1.79564e+009;3.16953e+006;7.50502e+006;;;;;;;;;;;;
3.28000e-007;0.00000e+000;-1.71564e+007;6.30435e+004;8.70427e+006;1.30249e+007;-8.38905e+006;8.70427e+006;-4.32061e+006;4.50974e+006;-1.28358e+007;-4.19453e+006;4.44670e+006;-4.00540e+006;8.76732e+006;1.89131e+005;4.44670e+006;4.32061e+007;1.30249e+007;1.74127e+009;1.74716e+007;1.72194e+007;;;;;;;;;;;;
